cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2020,5329026,16999526,1775350,11230449,3443615,1365874,17554151,0,13030917,13255196,8724832,4530364,0,3813252,0,34
89017,2020,106333,223299,107751,9616,378362,0,-48730,0,520912,520916,487633,33283,0,29057,0,2
128760,2020,686553,2898029,284594,202680,223770,0,3365427,0,9541188,9834378,9155584,678794,0,577274,0,0
136720,2020,1173992,5795600,2942457,505200,489480,0,6480112,0,14453921,14492571,12838640,1653931,0,1402357,0,21
140047,2020,53114,42260,0,0,293,0,95081,0,18620,18620,41155,0,22535,0,23079,0
201322,2020,9318414,14306521,3875,5371963,5736475,459124,17466899,0,38188856,41104662,32720445,8384217,0,6944839,0,164
201730,2020,1065982,6127746,2754941,689232,1509286,0,5685225,0,6945979,7347068,6801576,545492,0,454655,0,36
210436,2020,102133,214616,162428,14491,161064,0,155685,0,1113277,1118182,991828,126354,0,116001,0,10
253780,2020,0,21920,8414,8392,273026,0,-251106,0,36569,36569,42683,0,6114,0,7211,1
341415,2020,46653,261242,5242,250352,272050,0,35845,0,413417,414193,374659,39534,0,27314,0,1
359315,2020,7174841,875641,119265,475813,4250654,0,3840401,0,4482871,4599023,4324754,274269,0,233242,0,38
368356,2020,29877369,1710972,604077,862251,42125345,1584298,-12121302,0,325023,1696976,6742823,0,5045847,0,5045847,0
398284,2020,107925553,61612543,3118505,40932313,39762889,13613888,117249346,0,107448261,114880913,103388516,11492397,0,9554209,0,253
482120,2020,68798921,11604655,2545828,8835803,3526308,0,75898630,0,26047744,26805867,26557318,248549,0,248549,0,81
520690,2020,637624,1147345,117815,740055,446353,0,1338616,0,3010473,3001524,2949166,52358,0,46132,0,12
529584,2020,3420,40464,19350,7254,158668,0,-114784,0,48290,48290,37922,10368,0,9095,0,0
558830,2020,100906,508069,12252,209534,200939,0,408036,0,434628,435531,314073,121458,0,117344,0,3
563934,2020,1321376,2096062,65847,1322994,1551961,0,2139887,0,5697090,5873896,6137955,0,264059,0,264059,60
607615,2020,0,42,0,0,12924,0,-12882,0,74530,538844,546262,0,7418,0,13122,0
608394,2020,1708110,806328,697510,25796,2059090,0,455348,0,2588092,3274691,3265321,9370,0,3096,0,25
642388,2020,5096,565940,445100,59185,2576412,0,-2005376,0,483719,524490,371541,152949,0,147616,0,6
643260,2020,3659845,6067570,334568,5443701,682915,0,9083837,0,14293554,14498672,13620839,877833,0,763516,0,35
678268,2020,6553884,21178888,800258,20218390,760166,0,27002974,0,12329862,12484488,11676855,807633,0,689041,0,26
686520,2020,1457275,1522837,778704,485963,1474642,0,1505470,0,7966601,8028646,7668387,360259,0,316284,0,6
742131,2020,1663787,1972114,340227,280805,390523,0,3245378,0,2382741,2397279,1995365,401914,0,379736,0,10
743196,2020,4217,90310,6784,18379,6396,0,88131,0,353048,365646,311816,53830,0,50341,0,2
746540,2020,42782,442316,221171,72551,624720,0,-139622,0,1343271,1343501,1279521,63980,0,50872,0,7
784579,2020,52282,401533,164642,4750,327663,0,126152,0,515740,557149,608922,0,51773,0,55615,0
790309,2020,1655441,1288154,376003,746217,141576,0,2806214,0,1303544,1592177,1011164,581013,0,569136,0,13
790465,2020,1158992,2042881,399771,115105,482500,0,2719631,0,1257431,1266968,926246,340722,0,328989,0,7
809096,2020,218896,43258,0,11990,323695,2000,-63541,0,0,2148,7263,0,5115,0,5179,0
844646,2020,588532,944152,408099,214025,288823,0,1243861,0,9350302,9363702,8683873,679829,0,571005,0,9
858234,2020,1075727,376698,245744,126191,259548,0,1221695,0,777475,774785,702353,72432,0,64858,0,10
916165,2020,35546,776122,725704,38444,238682,0,572986,0,385629,443840,438204,5636,0,1198,0,3
946778,2020,26278173,24432100,1136217,20169878,21631403,0,29239465,0,77615629,78924549,65459525,13465024,0,12579395,0,416
954592,2020,167273,243867,14468,56387,50413,0,361815,0,379880,357080,235233,121847,0,118330,0,1
1074553,2020,1461674,2556489,3453,1450292,1495326,100000,2519507,20000,4268566,4281760,3227824,1053936,0,1012122,0,28
1076163,2020,859376,763426,148509,570331,358473,0,1264329,0,1779564,1855441,1534454,320987,0,302433,0,8
1088125,2020,48629187,73796339,24155150,18610350,47172023,1146406,74502471,0,254144084,257639997,253094110,4545887,0,3864015,0,246
1095130,2020,48790554,19276717,4570954,13772924,36633848,4030,32033133,0,91657949,92354583,88108994,4245589,0,4078280,0,633
1100466,2020,3928327,3764270,420179,2971718,1011523,0,6427386,0,10469049,10974260,9510391,1463869,0,1222081,0,61
1152830,2020,187321,16123,672,14224,58429,0,145015,0,0,0,13637,0,13637,0,13637,0
1155810,2020,348024,661160,63284,512238,898540,0,110644,0,1210346,1328161,1239087,89074,0,76937,0,5
1198470,2020,162950,1937857,1693103,7114,82401,0,2021067,0,1209513,1227420,900061,327359,0,315105,0,6
1206832,2020,898314,482400,64365,349819,615501,0,770232,0,2122835,2218816,2193441,25375,0,3187,0,20
1217564,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279273,2020,70768,407229,18700,96012,-6965,0,484962,0,618229,623430,573672,49758,0,44338,0,1
1284954,2020,123374,11663,3444,6837,113338,0,21699,0,30000,30000,21027,8973,0,8073,0,0
